bed_chr	bed_start	bed_end	id	len	size	gap_count	shift_count	hamming_ingroup_incl_gaps	hamming_outgroup_incl_gaps	hamming_in_out_incl_gaps	hamming_ingroup_excl_gaps	hamming_outgroup_excl_gaps	hamming_in_out_excl_gaps	table_browser	shift_count_rel	hamming_in_out_excl_gaps_scl	shift_count_rel_scl	norm2_scl	coding
chr11	2464120	2464170	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr11/chr11_50_acc_2464120_2464170.maf	50	51	1	9	0.0196078431372549	0.215686274509804	0.138648393113441	0.0196078431372549	0.215686274509804	0.138648393113441	chr11:2464120-2464170	0.176470588235294	0.358781567324613	0.409698708751793	0.544589060673084	TRUE
chr1	11285297	11285322	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_11285297_11285322.maf	25	25	0	4	0	0.16	0.113137084397295	0	0.16	0.113137084397295	chr1:11285297-11285322	0.16	0.291213508390379	0.370458536585366	0.471216335453265	TRUE
chr1	21896313	21896338	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_21896313_21896338.maf	25	25	0	4	0.04	0.28	0.169705637132655	0.04	0.28	0.169705637132655	chr1:21896313-21896338	0.16	0.441038331082761	0.370458536585366	0.575981194843406	TRUE
chr1	51012349	51012374	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_51012349_51012374.maf	25	25	0	4	0	0.16	0.113137084397295	0	0.16	0.113137084397295	chr1:51012349-51012374	0.16	0.291213508390379	0.370458536585366	0.471216335453265	TRUE
chr1	78020052	78020077	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_78020052_78020077.maf	25	25	0	4	0.08	0.2	0.0848528185663277	0.08	0.2	0.0848528185663277	chr1:78020052-78020077	0.16	0.216301124951231	0.370458536585366	0.428982172105251	TRUE
chr1	138450549	138450574	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_138450549_138450574.maf	25	25	0	4	0	0.2	0.141421360764975	0	0.2	0.141421360764975	chr1:138450549-138450574	0.16	0.36612591973657	0.370458536585366	0.520852874074743	TRUE
chr1	173397665	173397690	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_173397665_173397690.maf	25	25	0	4	0	0.2	0.141421360764975	0	0.2	0.141421360764975	chr1:173397665-173397690	0.16	0.36612591973657	0.370458536585366	0.520852874074743	TRUE
chr1	195327992	195328017	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_195327992_195328017.maf	25	25	0	4	0	0.16	0.113137084397295	0	0.16	0.113137084397295	chr1:195327992-195328017	0.16	0.291213508390379	0.370458536585366	0.471216335453265	TRUE
chr12	3244418	3244443	/paula/2019/aves/data/scoring/acc_maf_ingroup/25/chr12/chr12_25_acc_3244418_3244443.maf	25	25	0	4	0	0.2	0.141421360764975	0	0.2	0.141421360764975	chr12:3244418-3244443	0.16	0.36612591973657	0.370458536585366	0.520852874074743	TRUE
chr12	3607567	3607592	/paula/2019/aves/data/scoring/acc_maf_ingroup/25/chr12/chr12_25_acc_3607567_3607592.maf	25	25	0	4	0	0.16	0.113137084397295	0	0.16	0.113137084397295	chr12:3607567-3607592	0.16	0.291213508390379	0.370458536585366	0.471216335453265	TRUE
chr2	14395411	14395436	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr2/chr2_25_acc_14395411_14395436.maf	25	25	0	4	0.04	0.16	0.0848528132979716	0.04	0.16	0.0848528132979716	chr2:14395411-14395436	0.16	0.21630111099771	0.370458536585366	0.428982165069615	TRUE
chr2	23591695	23591720	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr2/chr2_25_acc_23591695_23591720.maf	25	25	0	4	0.08	0.24	0.113137084397295	0.08	0.24	0.113137084397295	chr2:23591695-23591720	0.16	0.291213508390379	0.370458536585366	0.471216335453265	TRUE
chr26	560723	560773	/paula/2019/aves/data/scoring/acc_maf_ingroup/50/chr26/chr26_50_acc_560723_560773.maf	50	50	0	8	0.02	0.18	0.113137094934008	0.02	0.18	0.113137094934008	chr26:560723-560773	0.16	0.291213536297422	0.370458536585366	0.471216352699926	TRUE
chr3	55223463	55223488	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_55223463_55223488.maf	25	25	0	4	0	0.2	0.141421360764975	0	0.2	0.141421360764975	chr3:55223463-55223488	0.16	0.36612591973657	0.370458536585366	0.520852874074743	TRUE
chr4	35050523	35050548	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr4/chr4_25_acc_35050523_35050548.maf	25	25	0	4	0.04	0.2	0.113137084397295	0.04	0.2	0.113137084397295	chr4:35050523-35050548	0.16	0.291213508390379	0.370458536585366	0.471216335453265	TRUE
chr4	46521309	46521334	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr4/chr4_25_acc_46521309_46521334.maf	25	25	0	4	0	0.16	0.113137084397295	0	0.16	0.113137084397295	chr4:46521309-46521334	0.16	0.291213508390379	0.370458536585366	0.471216335453265	TRUE
chr5	24678306	24678331	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr5/chr5_25_acc_24678306_24678331.maf	25	25	0	4	0.04	0.16	0.0848528132979716	0.04	0.16	0.0848528132979716	chr5:24678306-24678331	0.16	0.21630111099771	0.370458536585366	0.428982165069615	TRUE
chr2	124639788	124639813	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr2/chr2_25_acc_124639788_124639813.maf	25	32	7	5	0	0.21875	0.154679611031786	0	0.21875	0.154679611031786	chr2:124639788-124639813	0.15625	0.401241101217861	0.361524390243902	0.540087313355671	TRUE
chr1	126545467	126545492	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_126545467_126545492.maf	25	39	14	6	0	0.179487179487179	0.12691660689541	0	0.179487179487179	0.12691660689541	chr1:126545467-126545492	0.153846153846154	0.327709307120178	0.355797373358349	0.483720126583428	TRUE
chr12	12019384	12019409	/paula/2019/aves/data/scoring/acc_maf_ingroup/25/chr12/chr12_25_acc_12019384_12019409.maf	25	26	1	4	0	0.153846153846154	0.108785664558453	0	0.153846153846154	0.108785664558453	chr12:12019384-12019409	0.153846153846154	0.279688541349687	0.355797373358349	0.452567620418227	TRUE
chr24	1470349	1470374	/paula/2019/aves/data/scoring/acc_maf_ingroup/25/chr24/chr24_25_acc_1470349_1470374.maf	25	40	15	6	0	0.175	0.123743686718086	0	0.175	0.123743686718086	chr24:1470349-1470374	0.15	0.31930565915682	0.346634146341463	0.47128689285768	TRUE
chr3	17230391	17230416	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_17230391_17230416.maf	25	40	15	6	0	0.15	0.10606602320791	0	0.15	0.10606602320791	chr3:17230391-17230416	0.15	0.272485426484114	0.346634146341463	0.44091216705383	TRUE
chr2	79702650	79702700	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr2/chr2_50_acc_79702650_79702700.maf	50	67	17	10	0.0447761194029851	0.194029850746269	0.105538323582098	0.0447761194029851	0.194029850746269	0.105538323582098	chr2:79702650-79702700	0.149253731343284	0.271087785939163	0.344856206771023	0.438650648049101	TRUE
chr3	1880318	1880343	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_1880318_1880343.maf	25	28	3	4	0.0357142857142857	0.178571428571429	0.101015260699757	0.0357142857142857	0.178571428571429	0.101015260699757	chr3:1880318-1880343	0.142857142857143	0.259108213162334	0.329616724738676	0.419266325091379	TRUE
chr1	51809866	51809916	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_51809866_51809916.maf	50	50	0	7	0.06	0.22	0.113137084397295	0.06	0.22	0.113137084397295	chr1:51809866-51809916	0.14	0.291213508390379	0.322809756097561	0.434754466452963	TRUE
chr1	81708442	81708492	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_81708442_81708492.maf	50	50	0	7	0.02	0.26	0.169705626595943	0.02	0.26	0.169705626595943	chr1:81708442-81708492	0.14	0.441038303175718	0.322809756097561	0.546553678516468	TRUE
chr2	19617143	19617193	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr2/chr2_50_acc_19617143_19617193.maf	50	50	0	7	0.04	0.2	0.113137084397295	0.04	0.2	0.113137084397295	chr2:19617143-19617193	0.14	0.291213508390379	0.322809756097561	0.434754466452963	TRUE
chr3	79288671	79288721	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr3/chr3_50_acc_79288671_79288721.maf	50	50	0	7	0.04	0.28	0.169705637132655	0.04	0.28	0.169705637132655	chr3:79288671-79288721	0.14	0.441038331082761	0.322809756097561	0.546553701035895	TRUE
chr5	26667292	26667342	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr5/chr5_50_acc_26667292_26667342.maf	50	50	0	7	0.04	0.16	0.0848528132979716	0.04	0.16	0.0848528132979716	chr5:26667292-26667342	0.14	0.21630111099771	0.322809756097561	0.388577288644885	TRUE
chr4	51762072	51762097	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr4/chr4_25_acc_51762072_51762097.maf	25	125	100	17	0	0.248	0.175362481869479	0	0.248	0.175362481869479	chr4:51762072-51762097	0.136	0.456020785444956	0.31328	0.553262428832679	TRUE
chr3	108316186	108316211	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_108316186_108316211.maf	25	37	12	5	0	0.162162162162162	0.114665961353194	0	0.162162162162162	0.114665961353194	chr3:108316186-108316211	0.135135135135135	0.295262820380161	0.311219512195122	0.428996174656392	TRUE
chr13	5590908	5590958	/paula/2019/aves/data/scoring/acc_maf_ingroup/50/chr13/chr13_50_acc_5590908_5590958.maf	50	52	2	7	0.0384615384615385	0.211538461538462	0.122383871311171	0.0384615384615385	0.211538461538462	0.122383871311171	chr13:5590908-5590958	0.134615384615385	0.315704115677555	0.309981238273921	0.442444862935011	TRUE
chr1	4791519	4791569	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_4791519_4791569.maf	50	54	4	7	0.0925925925925926	0.259259259259259	0.117851125190219	0.0925925925925926	0.259259259259259	0.117851125190219	chr1:4791519-4791569	0.12962962962963	0.303698896327889	0.29810298102981	0.425556584874018	TRUE
chr13	16152708	16152758	/paula/2019/aves/data/scoring/acc_maf_ingroup/50/chr13/chr13_50_acc_16152708_16152758.maf	50	54	4	7	0.0185185185185185	0.148148148148148	0.0916619897712969	0.0185185185185185	0.148148148148148	0.0916619897712969	chr13:16152708-16152758	0.12962962962963	0.234335577295084	0.29810298102981	0.379181421070547	TRUE
chr2	14389294	14389344	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr2/chr2_50_acc_14389294_14389344.maf	50	85	35	11	0.0235294117647059	0.152941176470588	0.0915079430373532	0.0235294117647059	0.152941176470588	0.0915079430373532	chr2:14389294-14389344	0.129411764705882	0.233927576321338	0.297583931133429	0.378521210809118	TRUE
chr1	58243264	58243289	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_58243264_58243289.maf	25	31	2	4	0	0.129032258064516	0.0912395835115794	0	0.129032258064516	0.0912395835115794	chr1:58243264-58243289	0.129032258064516	0.23321681183431	0.296679779701023	0.377371134303629	TRUE
chr2	61247386	61247436	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr2/chr2_50_acc_61247386_61247436.maf	50	55	5	7	0.0545454545454545	0.163636363636364	0.0771389178273839	0.0545454545454545	0.163636363636364	0.0771389178273839	chr2:61247386-61247436	0.127272727272727	0.195870448283832	0.292487804878049	0.352014699285823	TRUE
chr2	7918087	7918112	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr2/chr2_25_acc_7918087_7918112.maf	25	32	7	4	0.03125	0.1875	0.110485436451276	0.03125	0.1875	0.110485436451276	chr2:7918087-7918112	0.125	0.28419047767553	0.287073170731707	0.403949542585954	TRUE
chr3	59853793	59853843	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr3/chr3_50_acc_59853793_59853843.maf	50	56	6	7	0.0178571428571429	0.142857142857143	0.0883883491610206	0.0178571428571429	0.142857142857143	0.0883883491610206	chr3:59853793-59853843	0.125	0.225665165904364	0.287073170731707	0.365151711561921	TRUE
chr2	79724883	79724933	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr2/chr2_50_acc_79724883_79724933.maf	50	73	23	9	0.0410958904109589	0.178082191780822	0.0968639541010697	0.0410958904109589	0.178082191780822	0.0968639541010697	chr2:79724883-79724933	0.123287671232877	0.248113256688906	0.282993651854327	0.376358333419924	TRUE
chr1	116910409	116910434	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_116910409_116910434.maf	25	41	16	5	0.219512195121951	0.268292682926829	0.0344930235584871	0.219512195121951	0.268292682926829	0.0344930235584871	chr1:116910409-116910434	0.121951219512195	0.0829205275516079	0.279809637120761	0.291837706465578	TRUE
chr5	10585540	10585590	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr5/chr5_50_acc_10585540_10585590.maf	50	66	16	8	0	0.166666666666667	0.117851135726932	0	0.166666666666667	0.117851135726932	chr5:10585540-10585590	0.121212121212121	0.303698924234933	0.278048780487805	0.411757405412715	TRUE
chr1	10682208	10682233	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_10682208_10682233.maf	25	25	0	3	0	0.16	0.113137084397295	0	0.16	0.113137084397295	chr1:10682208-10682233	0.12	0.291213508390379	0.275160975609756	0.400648062478213	TRUE
chr1	14688624	14688649	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_14688624_14688649.maf	25	25	0	3	0.08	0.2	0.0848528185663277	0.08	0.2	0.0848528185663277	chr1:14688624-14688649	0.12	0.216301124951231	0.275160975609756	0.349999627362203	TRUE
chr1	19017973	19017998	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_19017973_19017998.maf	25	25	0	3	0.04	0.16	0.0848528132979716	0.04	0.16	0.0848528132979716	chr1:19017973-19017998	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	23572377	23572402	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_23572377_23572402.maf	25	25	0	3	0	0.24	0.169705626595943	0	0.24	0.169705626595943	chr1:23572377-23572402	0.12	0.441038303175718	0.275160975609756	0.519834923188726	TRUE
chr1	24647021	24647046	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_24647021_24647046.maf	25	25	0	3	0	0.12	0.0848528132979716	0	0.12	0.0848528132979716	chr1:24647021-24647046	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	24653330	24653355	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_24653330_24653355.maf	25	25	0	3	0	0.12	0.0848528132979716	0	0.12	0.0848528132979716	chr1:24653330-24653355	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	24672502	24672527	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_24672502_24672527.maf	25	25	0	3	0.04	0.24	0.141421350228263	0.04	0.24	0.141421350228263	chr1:24672502-24672527	0.12	0.366125891829527	0.275160975609756	0.457997523100812	TRUE
chr1	25330419	25330444	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_25330419_25330444.maf	25	25	0	3	0.04	0.16	0.0848528132979716	0.04	0.16	0.0848528132979716	chr1:25330419-25330444	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	30499798	30499823	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_30499798_30499823.maf	25	25	0	3	0.04	0.16	0.0848528132979716	0.04	0.16	0.0848528132979716	chr1:30499798-30499823	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	45798617	45798667	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_45798617_45798667.maf	50	50	0	6	0.08	0.16	0.0565685421986477	0.08	0.16	0.0565685421986477	chr1:45798617-45798667	0.12	0.14138871360504	0.275160975609756	0.309361165684061	TRUE
chr1	49614423	49614473	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_49614423_49614473.maf	50	50	0	6	0.02	0.16	0.0989949514818116	0.02	0.16	0.0989949514818116	chr1:49614423-49614473	0.12	0.253757316670805	0.275160975609756	0.374307812184678	TRUE
chr1	55438544	55438594	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_55438544_55438594.maf	50	50	0	6	0	0.18	0.127279227849492	0	0.18	0.127279227849492	chr1:55438544-55438594	0.12	0.328669728016996	0.275160975609756	0.428645952521751	TRUE
chr1	57035374	57035424	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_57035374_57035424.maf	50	50	0	6	0.06	0.22	0.113137084397295	0.06	0.22	0.113137084397295	chr1:57035374-57035424	0.12	0.291213508390379	0.275160975609756	0.400648062478213	TRUE
chr1	69760074	69760124	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_69760074_69760124.maf	50	50	0	6	0	0.12	0.0848528132979716	0	0.12	0.0848528132979716	chr1:69760074-69760124	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	75877437	75877462	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_75877437_75877462.maf	25	25	0	3	0.04	0.2	0.113137084397295	0.04	0.2	0.113137084397295	chr1:75877437-75877462	0.12	0.291213508390379	0.275160975609756	0.400648062478213	TRUE
chr1	78109779	78109829	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_78109779_78109829.maf	50	50	0	6	0.1	0.18	0.0565685474670039	0.1	0.18	0.0565685474670039	chr1:78109779-78109829	0.12	0.141388727558562	0.275160975609756	0.309361172061301	TRUE
chr1	114498976	114499001	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_114498976_114499001.maf	25	25	0	3	0	0.12	0.0848528132979716	0	0.12	0.0848528132979716	chr1:114498976-114499001	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	116230368	116230393	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_116230368_116230393.maf	25	25	0	3	0	0.16	0.113137084397295	0	0.16	0.113137084397295	chr1:116230368-116230393	0.12	0.291213508390379	0.275160975609756	0.400648062478213	TRUE
chr1	126003929	126003954	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_126003929_126003954.maf	25	25	0	3	0	0.2	0.141421360764975	0	0.2	0.141421360764975	chr1:126003929-126003954	0.12	0.36612591973657	0.275160975609756	0.457997545409866	TRUE
chr1	147510767	147510792	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_147510767_147510792.maf	25	25	0	3	0.04	0.16	0.0848528132979716	0.04	0.16	0.0848528132979716	chr1:147510767-147510792	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	163549111	163549161	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_163549111_163549161.maf	50	50	0	6	0.04	0.16	0.0848528132979716	0.04	0.16	0.0848528132979716	chr1:163549111-163549161	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	169695708	169695733	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_169695708_169695733.maf	25	25	0	3	0	0.12	0.0848528132979716	0	0.12	0.0848528132979716	chr1:169695708-169695733	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	173686347	173686372	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_173686347_173686372.maf	25	25	0	3	0.08	0.2	0.0848528185663277	0.08	0.2	0.0848528185663277	chr1:173686347-173686372	0.12	0.216301124951231	0.275160975609756	0.349999627362203	TRUE
chr1	174707454	174707504	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_174707454_174707504.maf	50	50	0	6	0.04	0.18	0.0989949620185239	0.04	0.18	0.0989949620185239	chr1:174707454-174707504	0.12	0.253757344577849	0.275160975609756	0.374307831103911	TRUE
chr1	175734394	175734419	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_175734394_175734419.maf	25	25	0	3	0	0.12	0.0848528132979716	0	0.12	0.0848528132979716	chr1:175734394-175734419	0.12	0.21630111099771	0.275160975609756	0.349999618738873	TRUE
chr1	180102041	180102066	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_180102041_180102066.maf	25	25	0	3	0	0.16	0.113137084397295	0	0.16	0.113137084397295	chr1:180102041-180102066	0.12	0.291213508390379	0.275160975609756	0.400648062478213	TRUE
chr1	196644358	196644383	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_196644358_196644383.maf	25	25	0	3	0	0.2	0.141421360764975	0	0.2	0.141421360764975	chr1:196644358-196644383	0.12	0.36612591973657	0.275160975609756	0.457997545409866	TRUE
chr10	18509126	18509151	/paula/2019/aves/data/scoring/acc_maf_ingroup/25/chr10/chr10_25_acc_18509126_18509151.maf	25	25	0	3	0	0.16	0.113137084397295	0	0.16	0.113137084397295	chr10:18509126-18509151	0.12	0.291213508390379	0.275160975609756	0.400648062478213	TRUE
chr12	9191084	9191109	/paula/2019/aves/data/scoring/acc_maf_ingroup/25/chr12/chr12_25_acc_9191084_9191109.maf	25	25	0	3	0	0.2	0.141421360764975	0	0.2	0.141421360764975	chr12:9191084-9191109	0.12	0.36612591973657	0.275160975609756	0.457997545409866	TRUE
chr12	11723209	11723234	/paula/2019/aves/data/scoring/acc_maf_ingroup/25/chr12/chr12_25_acc_11723209_11723234.maf	25	25	0	3	0	0.2	0.141421360764975	0	0.2	0.141421360764975	chr12:11723209-11723234	0.12	0.36612591973657	0.275160975609756	0.457997545409866	TRUE
chr12	15931852	15931902	/paula/2019/aves/data/scoring/acc_maf_ingroup/50/chr12/chr12_50_acc_15931852_15931902.maf	50	50	0	6	0.02	0.12	0.0707106751141316	0.02	0.12	0.0707106751141316	chr12:15931852-15931902	0.12	0.178844905324614	0.275160975609756	0.328175353521685	TRUE
chr13	18850173	18850223	/paula/2019/aves/data/scoring/acc_maf_ingroup/50/chr13/chr13_50_acc_18850173_18850223.maf	50	50	0	6	0.02	0.2	0.127279227849492	0.02	0.2	0.127279227849492	chr13:18850173-18850223	0.12	0.328669728016996	0.275160975609756	0.428645952521751	TRUE
